PERSON_ID,DISPLAY_FIRST_LAST,name,url,bbref_id
77272,Maury King,Maurice King,https://www.basketball-reference.com/players/k/kingma01.html,kingma01
77365,Russell Lee,Russ Lee,https://www.basketball-reference.com/players/l/leeru01.html,leeru01
77379,Fred Lewis,Freddie Lewis,https://www.basketball-reference.com/players/l/lewisfr01.html,lewisfr01
77403,Johnny Logan,John Logan,https://www.basketball-reference.com/players/l/loganjo01.html,loganjo01
77444,Francis Mahoney,Mo Mahoney,https://www.basketball-reference.com/players/m/mahonmo01.html,mahonmo01
316,Richard Manning,Rich Manning,https://www.basketball-reference.com/players/m/manniri01.html,manniri01
77471,Donald Martin,Dino Martin,https://www.basketball-reference.com/players/m/martidi01.html,martidi01
77475,Larue Martin,LaRue Martin,https://www.basketball-reference.com/players/m/martila01.html,martila01
77476,Mo Martin,Maurice Martin,https://www.basketball-reference.com/players/m/martima01.html,martima01
77479,Ronald Martin,Whitey Martin,https://www.basketball-reference.com/players/m/martiwh01.html,martiwh01
1628420,Monté Morris,Monte Morris,https://www.basketball-reference.com/players/m/morrimo01.html,morrimo01
202694,Marcus Morris Sr.,Marcus Morris,https://www.basketball-reference.com/players/m/morrima03.html,morrima03
77648,Dwight Morrison,Red Morrison,https://www.basketball-reference.com/players/m/morrire01.html,morrire01
77743,Buckshot O'Brien,Ralph O'Brien,https://www.basketball-reference.com/players/o/obriera01.html,obriera01
1626266,JJ O'Brien,J.J. O'Brien,https://www.basketball-reference.com/players/o/obriejj01.html,obriejj01
77793,John Palmer,Bud Palmer,https://www.basketball-reference.com/players/p/palmebu01.html,palmebu01
77920,Jamesearl Ray,James Ray,https://www.basketball-reference.com/players/r/rayja01.html,rayja01
78060,Thomas Sanders,Tom Sanders,https://www.basketball-reference.com/players/s/sandeto01.html,sandeto01
1630286,Trevon Scott,Tre Scott,https://www.basketball-reference.com/players/s/scotttr01.html,scotttr01
78185,Donald Smith,Don Smith,https://www.basketball-reference.com/players/s/smithdo01.html,smithdo01
2747,JR Smith,J.R. Smith,https://www.basketball-reference.com/players/s/smithjr01.html,smithjr01
78194,Labradford Smith,LaBradford Smith,https://www.basketball-reference.com/players/s/smithla02.html,smithla02
78205,Sammy Smith,Sam Smith,https://www.basketball-reference.com/players/s/smithsa02.html,smithsa02
203106,Jeffery Taylor,Jeff Taylor,https://www.basketball-reference.com/players/t/tayloje03.html,tayloje03
78461,Johnny Warren,John Warren,https://www.basketball-reference.com/players/w/warrejo01.html,warrejo01
78465,Dwayne Washington,Pearl Washington,https://www.basketball-reference.com/players/w/washipe01.html,washipe01
201591,DJ White,D.J. White,https://www.basketball-reference.com/players/w/whitedj01.html,whitedj01
1628510,Andrew White III,Andrew White,https://www.basketball-reference.com/players/w/whitean01.html,whitean01
78519,Charles Whitney,Hawkeye Whitney,https://www.basketball-reference.com/players/w/whitnha02.html,whitnha02
78545,Don Williams,Duck Williams,https://www.basketball-reference.com/players/w/willidu01.html,willidu01
78569,Samuel Williams,Sam Williams,https://www.basketball-reference.com/players/w/willisa02.html,willisa02
1629057,Robert Williams III,Robert Williams,https://www.basketball-reference.com/players/w/williro04.html,williro04
1628475,Matt Williams Jr.,Matt Williams,https://www.basketball-reference.com/players/w/willima05.html,willima05
